hotel_name,hotel_lat,hotel_lon
Studio tout équipé centre ville,49.4422663,1.1075641
Comfort Hotel Rouen Alba,49.43844769,1.09431311
le grand pont,49.439025,1.0922548
Soothing Jungle Spa,49.4439914,1.080368
Rouen hyper centre ville Palais de Justice,49.4427967,1.0916498
F2 de charme au cœur de Rouen,49.4404809,1.095951
Magnifique Appartement Neuf,49.44157649,1.0839549
SUPERBE STUDIO HYPER CENTRE TOUT ÉQUIPÉ WIFI 2PERS,49.888977,2.3115448
L'ESCAPADE AVEC SALLE DE SPORT,49.8855193,2.2943624
Studio Spa Privatif NETFLIX Unique Amiens,49.9001684,2.2860934
Charmant T2 Hyper-centre,49.89013675,2.29853201
Mercure Rouen Centre Champ de Mars,49.43555756,1.10374242
So Amiens,49.89564939,2.30620663
Chambres d'hôtes Les Ecuries de La Source,49.91872377,2.27057827
Appartement Carolles,48.758781,-1.5708035
Nid douillet moderne face à la Cathédrale,49.8961556,2.3056946
Maison Jullouville,48.763255,-1.5698678
Lille centre - Beautiful bright apartment!,50.634144,3.066915
Maison de 2 chambres a Ver sur Mer a 100 m de la plage avec jardin clos,49.34443202,-0.51691209
LES PERLES AMIÉNOISES ☆ WHITE PEARL ☆ HYPER CENTRE ☆,49.8925625,2.3052844
Zaurak YourHostHelper,49.2132442,-0.5161734
Les etangs de planquery,49.16325754,-0.852716
AMAZONIA,49.1649146,-0.8667223
Château de Bernesq,49.27241099,-0.94273603
Maison élégante à quelques minutes de la mer,49.30396793,-0.46588739
Appartement avec loggia - Proche centre et plage,49.33451801,-0.45846697
Domaine de la Fauvriere,49.130159,-0.779375
Studio avec toit terrasse privé,49.4439357,1.0854735
Petit studio confortable pour deux personnes,49.454713,1.095089
Superbe appartement dans le quartier de la gare,49.4485027,1.09623344
Charmant appartement,49.42822201,1.08442686
B&B Hôtel Rouen Centre St Sever,49.43032628,1.08483285
Appart Atypique Tout Neuf,49.4508786,1.0880219
Le Carré D'Or - Appartement Confort - Jardin privé,49.9001684,2.2860934
Amiens ROOM,49.8952746,2.3063014
Ibis Styles Rouen Centre Rive Gauche,49.42498666,1.06860875
Escapade Amiens,49.879218,2.2777895
Appart'HomeCity - Rouen Grand Prieuré,49.42696016,1.08972469
Appartement Cosy 2 Amiens,49.88881,2.284673
DOWNTOWN LOFT - CENTRE VILLE - WiFi - NETFLIX,49.89219043,2.29471652
DOWNTOWN COCOON - CENTRE VILLE - WiFi - NETFLIX,49.89225955,2.29466287
GRAND T2 GARE AMIENS TOUT CONFORT 2PERS WIFI,49.888977,2.3115448
Sweet Home,49.88363244,2.28531144
Appartement Cosy 3 Amiens,49.8842317,2.3270212
Casamara 1 T1 avec 2 couchages 10 min CHU,49.8969288,2.2798175
Les cottages Saint Honoré,49.884381,2.2846942
Charmant T2 hyper centre. Cathédrale,49.89387632,2.3009108
Le petit Fiquet,49.89008447,2.30717169
Appartement Cosy 5 Amiens,49.8842396,2.3270167
15ème droite - Tour Perret - Centre-Ville - 4 étoiles,49.891036,2.306244
Le petit cocon,49.8906405,2.3033879
ibis Lille Centre Grand Place,50.63833665,3.06302972
Les Toquées Maison d'hôtes,50.63822102,3.03484735
Crowne Plaza Euralille,50.63993565,3.07568908
Aparthotel Adagio Access Lille Vauban,50.6328418,3.0495885
Appartement grande chaussée Lille,50.6389725,3.0637948
Hotel Carlton,50.63671804,3.06532234
Lille Grand Place - Superb design ap,50.633389,3.062198
Le Saint Aubert,48.61293783,-1.51010513
Hotel De La Digue,48.61688155,-1.51091784
Camping aux Pommiers - Tohapi,48.613555,-1.5101
Hôtel Vert,48.61470049,-1.50961697
Apparthôtel Mont Saint Michel - Résidence Fleurdumont,48.59648217,-1.50314692
Comfortable flat at the heart of Old Lille close to stations - Welkeys,50.6414072,3.0655325
Gîte de la Grève,48.5973128,-1.5113112
Ermitage - Mont-Saint-Michel,48.59449,-1.511429
Appartement dos à la marina - Proche de la plage,49.3351328,-0.4652165
Résidence Beauvoir le Mont-Saint-Michel (9 gîtes de 2 à 5 personnes),48.59787845,-1.50841866
Appartement près du port centre et plage - Vue mer,49.3331637,-0.4607915
Appartement moderne avec terrasse à 500m de la mer,49.33308196,-0.45786886
Gwenhen - Appartement vue mer,49.3347548,-0.466168
Le Greement,49.334845,-0.464118
THE BOATSHED House-Premium vue Ville,49.3341,-0.45972
Bleu Salé - F2 Courseulles avec balcon,49.33502702,-0.4646659
Studio Le Medicis 5,49.44046203,1.08415972
Coquelicot,49.32891699,-0.4550646
Cinéma T3 Disney+ Balcon Hyper-centre,49.8929989,2.2928398
Grand Hotel de L'Univers,49.89125423,2.30433606
NOCNOC - Le Retro,50.63763324,3.06321044
Hyper centre,49.8952396,2.2969737
Superbe appartement-Sauna-Cinéma-Parking-Gare,49.8942034,2.3068382
Grey's amienoise,49.9052495,2.2869794
15ème droite - Tour Perret - Centre-Ville - 4 étoiles,49.891036,2.306244
Appartement d'une chambre avec vue sur la ville et wifi a Amiens,49.8974775,2.264038
escapade in Amiens,49.8792416,2.2778329
L'appartement d'Alice Lille gare,50.6346945,3.0703581
Appart'City Confort Lille - Euralille,50.6454875,3.07321072
Auberge de Jeunesse HI Amiens,49.8901728,2.28083562
Zenitude Hôtel-Résidences Le Havre,49.50008887,0.14129341
Old Town - Nice cozy and functional ap for 2pers,50.64016,3.055714
Grand Place - Superb flat 60m2 in the centre of Lille!,50.638371,3.063459
GITE MONTOISE,48.6841589,-1.4777512
Le 84 Sainte-Cath',50.64217895,3.05422916
L'Aurore de la Baie,48.60980731,-1.45251249
Au p'tit Mont,48.5910988,-1.46617603
Les Guédrils,48.68891936,-1.46124601
Manoir de la Roche Torin,48.63727298,-1.42506182
La Parenthèse de la Baie,48.62940316,-1.42864372
Gite Le Mascaret,48.60646125,-1.58795357
Gîte Baie Bonheur,48.68464037,-1.47356448
Old Town - Superb apartment in rue Esquermoise !,50.638054,3.061626
Au Bonheur Nomade,49.11166401,-0.74667871
Les Sardines,49.334967,-0.46429
La Pêcherie,49.3349772,-0.45743197
The People - Lille,50.64574603,3.05592656
Les 5 rûches,49.334824,-0.456858
Le Manoir d'à Côté,49.33440391,-0.45762777
Le Petit Large,49.3347902,-0.46282
Le Goeland,49.33185447,-0.4666922
Studio avec loggia - à 200m de la plage - Parking,49.334901,-0.4475972
Le sacré cœur bis -duplex 5pl,49.51538257,0.12214579
Romance spa tropical Le Havre,49.4976392,0.1094497
Vivez La vue mer - Port de plaisance - Plage,49.48794455,0.09892914
Boutique Hotel d'Angleterre Le Havre,49.49404915,0.09936646
LH LOFT spa,49.5005658,0.1382693
Hotel Cluny Square,48.85148396,2.34343462
Lille Centre - Nice cozy and functional Parking,50.632172,3.065243
Hôtel Les Gens De Mer Le Havre by Popinns,49.4899183,0.10338306
Old Town - Lovely typical house,50.641609,3.054713
CHARME VIEUX LILLE Apartment 1 chambre 24H24H Access,50.64333085,3.05954592
Zen Appart Vieux Lille 2,50.64326092,3.0595188
Old Town - Nice and functional apt,50.646496,3.054097
Appart Lille Centre,50.63289037,3.0882808
Appartement exceptionnel au coeur de Lille,50.63004925,3.0565228
Hôtel Cabane,48.83375476,2.31769994
Le 123 Sébastopol - Astotel,48.86761722,2.35307649
Hotel Terminus Montparnasse,48.84433,2.323313
Hotel Mirabeau Eiffel,48.84405703,2.27965744
Hotel de L'Empereur,48.85631433,2.30952613
Best Western Premier Opéra Faubourg,48.8753207,2.34141827
LeThamyris - HYPER CENTRE avec Parking privé,49.4932476,0.1182864
Lille Centre - Nice cozy and functional studio,50.632793,3.055434
Studio Lille Gambetta,50.6277862,3.0539896
L'Esplanade Lille,50.64224688,3.05362254
Charming architect studio at the heart of Lille nearby Solférino - Welkeys,50.6243142,3.0593921
Lille Centre - Nice cozy and functional ap 2bdrm,50.634903,3.067201
La Boulangerie,48.68958402,-1.46075382
M'amour,50.61535268,3.02906156
La Valiz,50.63695662,3.06955688
Hébergements situés à 6 kms du Mont Saint Michel,48.57745888,-1.44966947
Vacancéole - Les Chambres de la Baie,48.593575,-1.596291
Vacancéole - Le Domaine du Mont - Mont St Michel,48.59352509,-1.59637034
Chambres de Villée,48.5650815,-1.5510708
The Originals Boutique,48.59640422,-1.58920348
ibis Pontorson Baie Du Mont Saint Michel,48.571549,-1.543127
Chambres d'Hôtes Ferme de la Baie,48.58118645,-1.57187775
1er Etage SoPi-Montmartre,48.87979654,2.33431211
Hotel Du Moulin d'Or,50.63555103,3.07001285
L'Echo des Vagues,49.498167,0.0940345
appartement individuelle refais a neuf,49.5005187,0.1214918
Vue mer plage 60m2 - 4pers - Garage privatif,49.4959695,0.0950445
Vivez les flots bleus,49.48792053,0.09975522
NOUVEAU - Vivez La forêt à la Marina - Résidence de France,49.48801811,0.09973376
Maison de ville avec Jardin au HAVRE (Normandie),49.50109997,0.1447609
Lille Centre - Nice cozy and functional ap,50.638283,3.073654
Le Chat Qui Dort - Vieux Lille III,50.643564,3.059955
Appartement T2 sur la place du marché de Wazemmes,50.625992,3.048992
Hôtel Montparnasse Saint Germain,48.84248541,2.32361737
Lille Centre - Nice cozy and functional ap 4pers,50.634903,3.067201
Superb apartment near the Grand Place!,50.634903,3.067201
The Appart,50.63857991,3.06551814
Nestyou Vieux Lille Centre Ville,50.63932598,3.0597019
Kindarena Rouen Living Spot,49.4510762,1.0593108
citizenM Paris Champs-Élysées,48.871048,2.305767
Appt lumineux - Avec balcon à 400m de la plage,49.3314693,-0.4467874
ibis Paris Gare De L'Est TGV,48.8755077,2.35847881
Mercure Paris Bastille Marais,48.85710229,2.3807475
Le Regent Montmartre by Hiphophostels,48.8828744,2.34509356
Jardin de Villiers,48.88402748,2.31497437
Le 123 Elysees - Astotel,48.87312348,2.30974138
Modern studio with jacuzzi near Le Havre station and center Welkeys,49.4925319,0.1213965
Old Town - Nice cozy and functional studio,50.638348,3.054618
Sohosuite,50.62282002,3.05064626
La Bourgogne en Ville,50.635091,3.051843
Hotel 34B - Astotel,48.87262971,2.34366865
Austin's Arts Et Metiers Hotel,48.86601094,2.35709757
Louisa Hôtel,48.86916013,2.28906624
Hôtel A La Villa des Artistes,48.84228828,2.33078197
Hotel George - Astotel,48.87948642,2.33634353
Mercure Paris Gare De Lyon TGV,48.8444056,2.37272322
Hôtel de La Croix d'Or,48.68265214,-1.35684639
La Jouvenelle,48.52675364,-1.48082346
Camping aux Pommiers - Tohapi,48.613555,-1.5101
Gite Notre Dame,48.5531728,-1.51105875
Hôtel Patton,48.68230328,-1.35637432
B&B Hôtel AVRANCHES Baie du Mont St-Michel,48.65501346,-1.35374832
Résidence Beauvoir le Mont-Saint-Michel (9 gîtes de 2 à 5 personnes),48.59787845,-1.50841866
Villa Raphaëlle #5,49.4972771,0.1230355
Avalon Cosy Paris Gare du Nord,48.880854,2.351492
Villa Raphaëlle #2,49.4972771,0.1230355
Ermitage - Mont-Saint-Michel,48.59449,-1.511429
Game Time - Appartement lumineux et tout confort,49.4969102,0.1222535
Dormir au Havre Flaubert hyper centre,49.4982195,0.1136055
Appartement plein centre-ville du Havre,49.49161515,0.10445874
Art Hotel Eiffel,48.84872937,2.29834892
Hotel De Londres,50.63632592,3.06916058
Cosy Appartement proche Gares #1,50.6453279,3.076735
Treilles'Appart,50.63305787,3.08809966
Les Toquées Maison d'hôtes,50.63822102,3.03484735
Jolis Appartements,50.61626986,3.03245547
NOCNOC - Le Petit National,50.631343,3.048865
Atypical and cozy studio in Old Lille close to the station - Welkeys,50.6386997,3.0598978
CosyRouen Gare,49.452865,1.095687
Studio avec toit terrasse privé,49.4439357,1.0854735
3DALIPHARD,49.4448978,1.1074499
Le 102,49.455949,1.09517668
Appart'HomeCity - Rouen Grand Voile,49.42540118,1.06979833
LES OISEAUX (L'HIRONDELLE),49.45195159,1.09574068
Appart'HomeCity - Rouen Ile Lacroix Seine,49.43323031,1.09939416
Charming Apartment in Courseulles sur Mer near Seabeach,49.335315,-0.446684
Pegase,49.3325972,-0.4471348
Appartement neuf - à 500m de la mer avec balcon,49.33344965,-0.44929287
Galene,49.3314693,-0.4467874
Tribord,49.3346236,-0.4509491
Le Manoir de Herouville,49.1569061,-0.89656591
JUNO,49.3334184,-0.45080032
F2 avec terrasse sud,49.3332917,-0.4494076
Hôtel Céleste Batignolles Montmartre,48.8835939,2.3254694
Hotel Beaugrenelle Tour Eiffel,48.85029968,2.29046166
Mercure Paris Bastille Saint Antoine,48.8495778,2.37965181
Kyriad Hotel XIII Italie Gobelins,48.83379537,2.35496745
Vivez l'Echappée mer - 4 chemins - St Vincent - Plage,49.4992977,0.09494393
Best Western Hôtel Littéraire Arthur Rimbaud,48.87087554,2.355716
Passy Eiffel,48.85839979,2.28346579
Best Western Premier Hotel Littéraire Le Swann,48.87983304,2.32074648
Aux chants d'oiseaux,49.4979238,0.1223648
Elysees Niel Hotel,48.87962842,2.29613051
Aparthotel Adagio Paris Nation,48.8407,2.397879
Gîte de la Grève,48.5973128,-1.5113112
Best Western Hôtel Littéraire Arthur Rimbaud,48.87087554,2.355716
Hotel Duquesne Eiffel,48.85262399,2.30901897
GITE MONTOISE,48.6841589,-1.4777512
Hotel Eugène en Ville,48.87502516,2.341602
La Parenthèse de la Baie,48.62940316,-1.42864372
L'Aurore de la Baie,48.60980731,-1.45251249
Gîte Baie Bonheur,48.68464037,-1.47356448
Gite Le Mascaret,48.60646125,-1.58795357
La Boulangerie,48.68958402,-1.46075382
Les Guédrils,48.68891936,-1.46124601
Residhome Paris Opéra,48.87475354,2.32910961
InterContinental Paris Le Grand,48.87062271,2.32988074
Les délices du Havre,49.50565542,0.10181562
Le Coin Tranquille - City Center,49.5000044,0.1245045
le gite du baron,48.59562119,-1.61509583
Lille Centre - Nice cozy and functional ap,50.639366,3.070317
Hotel Saint Honore,48.86122012,2.34364249
Appartement Cosy Feng Shui 4 personnes Le Havre Centre-ville,49.49888105,0.1164871
Lille Beau Hôte,50.62526299,3.11195641
Old Town - Nice cozy and functional studio,50.639244,3.058641
Sohosuite,50.62282002,3.05064626
Au Loup Historic Apartments,49.272798,-0.707556
Appart Coeur de Rouen - Les Beaux Arts,49.443726,1.0946646
A & V Appart'hôtel,50.62990912,3.04850888
Le Cottage Flaubert,49.43581548,1.07821584
Charmant appartement centre historique de Rouen proche de tout pour un week-end en amoureux ou le travail,49.438903,1.0991185
Résidence services seniors les boréales,49.4254701,1.0838855
ROUEN F3 ORBE Sweet Home,49.4433877,1.1043922
Rouen ECO Lodges,49.45751538,1.09975319
Golden Junior,49.4386736,1.0925156
Jardin - à 50m de la plage - Wifi - Parking,49.3343425,-0.4482317
DUPLEX F3 - CENTRE ROUEN - 4 COUCHAGES,49.4465758,1.0857257
La Mouette Rieuse,49.334901,-0.4475972
Taphao YourHostHelper,49.3324673,-0.4474123
Le Petit Normand,49.33344,-0.450977
Le Juno,49.33217643,-0.44709007
Le Pavillon - Appartement à 30 m de la plage,49.335285,-0.447048
La Rhétaise,49.32571999,-0.44762717
Trimaran,49.3353058,-0.446539
Château Saint Gilles,49.249366,-0.712469
Domitys Les Falaises Blanches,49.27913671,-0.72042494
La maison des marronniers,49.276865,-0.7261816
VICTOIRE APPART - CENTRE HISTORIQUE - LUMINEUX - Bayeux,49.27815486,-0.70626262
Château de Monceaux 5mn de Bayeux proche Mer,49.25214479,-0.69390664
LES URSULINES Centre Historique de BAYEUX,49.277678,-0.705937
Liberty Confort - Old town & Cathedral view,49.276088,-0.70410317
Hôtel Le Green,49.4923028,0.1229328
Villa des Roses Appart T2,49.49271861,0.15357732
Hotel Splendid,48.8467778,2.2962006
ibis Styles Paris Nation Cours de Vincennes,48.84695053,2.40798265
Mercure Paris Pigalle Sacre Coeur,48.88242989,2.3365449
Hotel Beausejour,48.86423527,2.37514436
Hilton Garden Inn Le Havre Centre,49.49008699,0.09774696
Hotel London,48.8713945,2.3353229
Vacancéole - Les Chambres de la Baie,48.593575,-1.596291
Hébergements situés à 6 kms du Mont Saint Michel,48.57745888,-1.44966947
Best Western Plus Hôtel Littéraire Marcel Aymé,48.88651832,2.33562872
Chambres de Villée,48.5650815,-1.5510708
De la campagne au Mont-Saint-Michel,48.5620386,-1.4673131
le gite du baron,48.59562119,-1.61509583
Le petit nid du Mont Saint Michel,48.5559044,-1.5095782
ibis Pontorson Baie Du Mont Saint Michel,48.571549,-1.543127
Les Hortensias,48.594563,-1.617725
CASA PAULA garden & terrace,49.2787804,-0.7033727
Holiday Inn Express - Le Havre Centre,49.498238,0.128837
Hôtel Le Marignan - Le Havre Centre Gare,49.49227908,0.12310803
Résidence Dauphine,49.48800663,0.11446936
Nomad Hotel le Havre,49.4933176,0.12530688
Oscar Hôtel,49.48981028,0.10710865
Mercure Le Havre Centre Bassin Du Commerce,49.49033645,0.11681288
Premiere Classe Le Havre Centre-LES DOCKS,49.49641693,0.15151234
Novotel Paris Centre Gare Montparnasse,48.83861112,2.31500521
HOTEL ORION,49.434801,1.085815
COSYFULL Rouen centre JACUZZI,49.4469266,1.0829434
Appartement Rouen à 400 m de la gare,49.4477564,1.097381
Paris Marriott Opera Ambassador Hotel,48.87264054,2.33667612
Hotel Les Arcades,49.44178239,1.09468795
Spacieux F4-Balcon! 2 Place de Parkings!!,49.43592591,1.07818351
Hotel Beausejour,49.44823513,1.09215809
Appartement Rouen centre: Hôtel de ville,49.4424291,1.1030589
Le Voilier,49.3330741,-0.4499886
Hotel Dandy Rouen centre,49.44527729,1.0867627
Le Cockpit,49.3314724,-0.4468143
New Haven - Maison avec jardin - plage à 100 m,49.3344383,-0.4537708
Triplex avec jardinet - wifi - à 400m de la plage,49.3332521,-0.4498363
Les Rochers,49.18325453,-0.94394434
MHVACANCES propose CAMPING 4 ETOILES en NORMANDIE,49.15875537,-0.92143048
The Welcome Apartment,49.27624595,-0.70377003
studio du botanique,49.2873164,-0.7180979
Best Western Plus Le Havre Centre Gare,49.49334357,0.12431771
Maison de ville Bayeux,49.2779279,-0.70501898
Radisson Blu Hotel,49.446441,1.09412
maison d'alice,49.278912,-0.708185
Room 75,49.285491,-0.692944
Gîte de l'Ardoisier the slaty place,49.25731927,-0.72057875
Chateau des Monts,49.27519283,-0.75466627
Hotel Audran,48.88532693,2.33602367
Lh Rooms Location,49.496706,0.152229
Ibis Budget Le Havre Les Docks,49.49424468,0.14285243
La Petite Rade Hôtel,49.50238471,0.08598089
Hotel Rochechouart,48.88199998,2.34074235
Hôtel Carmin,49.49493852,0.10553956
Vivez Le Centre ville à la Plage,49.49275943,0.10127851
Villa des Roses Appart T2,49.4927109,0.15355221
Residence Hoteliere de l'Estuaire,49.4955557,0.116637
Domaine La Longre,49.186179,-0.953845
PETITE MAISON F1 CHEZ L'HABITANT,49.51225216,0.11279501
Maison de pêcheur rénovée - Cour close ensoleillée,49.3293356,-0.4250243
Apartment,48.65874,-1.977028
Odalys City Amiens Blamont,49.88714842,2.3116109
studi'home,49.443658,1.090557
Best Western Plus Hotel Litteraire Gustave Flaubert,49.44306423,1.08660311
Kyriad Direct Rouen Centre Gare,49.43948371,1.08725488
Hôtel de Bourgtheroulde,49.442178,1.088876
Brit Hotel Confort Rouen Centre,49.43869536,1.1092034
Les Initiés,49.44197641,1.09243892
Mercure Rouen Centre Cathédrale,49.44117285,1.09517545
Les Herbagettes,49.23788347,-0.6387177
Holiday Inn Express - Rouen Centre - Rive Gauche,49.429988,1.072398
Victoria,49.3275608,-0.6479737
Victoria Arromanches B&B,49.32767792,-0.64775644
L'Orangerie du Grand Jardin,49.22753244,-0.63336611
Chateau La Cheneviere,49.33242881,-0.75565204
Chambres d'Hôtes Manoir Du Chêne,49.22902224,-0.63278139
Maison du Pêcheur (6 pers) Arromanches les bains,49.3378577,-0.6226693
Clos Margottières,48.6637463,-1.39482915
Appartement plein centre proche Gare,49.4998631,0.1324635
Residence Hoteliere de l'Estuaire,49.4955557,0.116637
Cosy à Coty,49.4941156,0.11178
La Catène-Perret,49.4859536,0.1090277
Vivez La vue mer - Port de plaisance - Plage,49.48794455,0.09892914
Studio La Perle Noire plein centre,49.49384511,0.11545019
LE MARITIME,49.48546408,0.10549449
Les Gîtes Havrais,49.4982166,0.123585
La Charretterie,49.249854,-0.594265
Best Western ARThotel,49.49119366,0.1064609
Le charme de l ancien entre mer et ville,49.4962963,0.0992278
ibis Le Havre Centre,49.49164142,0.11876017
Vue mer plage 60m2 - 4pers - Garage privatif,49.4959695,0.0950445
Vivez La vue mer - Port de plaisance - Plage,49.48794455,0.09892914
B&B Hotel LE HAVRE Centre Gare,49.493046,0.124163
Le Petit Coeur,49.4938936,0.1156005
Château Hôtel Du Colombier,48.63858774,-1.96755052
Jacques Melchior,48.648992,-2.025626
Escale Oceania Saint Malo,48.65428009,-2.00883776
See Breizh by Home From Home,48.604376,-2.004107
LE TIMONIER by Cocoonr,48.634819,-2.020824
Hotel Ar Terra Nova,48.6364051,-2.0141844
L'AccrocheCoeur,48.648137,-2.027065
Le Blue Note by Cocoonr - Bel appartement de standing,48.6506809,-2.0243211
Hotel Le Prieuré et La Résidence,49.89444519,2.30094239
LA BERGE,49.8961025,2.3107899
Les Augustins,49.894229,2.305778
Charmant T2 Hyper-centre,49.89013675,2.29853201
Hotel Central Anzac,49.89183258,2.30599433
Appartement 2 personnes : LES CANAUX,49.8961025,2.3107899
Appart'City Amiens Gare Cathédrale,49.8943163,2.3097612
Cocon entre GareSNCF et VieuxMarché,49.4456036,1.0902958
La Souche,49.4447292,1.0903862
The Originals City,49.4385349,1.09345078
