city,hotel_name,hotel_lat,hotel_lon
Sougéal,Maison de 4 chambres avec jardin amenage a Sougeal,48.51078111,-1.52163414
Rouen,Appart'HomeCity - Rouen Vue Cathédrale,49.43365941,1.09861642
Amiens,WHITE HOUSE DHAVERNAS,49.88146960,2.29987140
Rouen,Appartement Rouen Jeanne d'Arc,49.44044810,1.09659690
Rouen,La suite Marilyn,49.44637670,1.09918890
Rouen,L'Escapade,49.44147479,1.09714656
Rouen,Eco-appart Jardin des plantes,49.42388100,1.08098400
Rouen,Studio Le Medicis - 4,49.44047820,1.08410250
Rouen,charming city center flat,49.44211400,1.08843700
Rouen,Le Carrel Saint Marc,49.43755450,1.10054210
Amiens,LES PERLES AMIENOISES✩BLACK PEARL☆HYPER CENTRE☆,49.89256250,2.30528440
Amiens,Hortillonne,49.89196690,2.31273690
Amiens,PRETTY HOME,49.89429660,2.28590560
Amiens,Appartement 2 personnes : LES CANAUX,49.89610250,2.31078990
Amiens,le 29,49.88625200,2.29459900
Licorne,La Vénus de Renancourt - face au Zénith,49.89744090,2.26405910
Saint Malo,38 m2 with WIFI and GARAGE - Port des Sablon,48.63626800,-2.02523600
Amiens,Uniq Home,49.88313470,2.28525780
Saint Malo,T2 de 47m2 au cœur de St Servan parking couvert,48.63539120,-2.01502350
Saint-Loup,Chambres d'Hotes La Maison Neuve,48.65261273,-1.31725833
1 pièce,Appartement Jullouville,48.76481620,-1.56855100
Montviron,Le poulailler,48.74813640,-1.40540770
Amiens,STUDIO COSY GARE AMIENS TOUT ÉQUIPÉ WIFI 2PERS,49.88897700,2.31154480
Saint-Quentin-sur-le-Homme,chambres chez Brigitte et Patrick près du Mont st Michel,48.64453900,-1.31635300
Saint-Quentin-sur-le-Homme,Hôtel Le Gue Du Holme,48.64701774,-1.31714031
Sacey,Marie France 's home,48.50895700,-1.48538500
Balleroy,Camping le Clos de Balleroy,49.18668940,-0.82455933
Rouen,Studio tout équipé centre ville,49.44226630,1.10756410
Rouen,Comfort Hotel Rouen Alba,49.43844769,1.09431311
charmant appartement sous les toits,le grand pont,49.43902500,1.09225480
Rouen,Soothing Jungle Spa,49.44399140,1.08036800
Rouen,Rouen hyper centre ville Palais de Justice,49.44279670,1.09164980
vu unique sur la cathédrale,F2 de charme au cœur de Rouen,49.44048090,1.09595100
Rouen,Magnifique Appartement Neuf,49.44157649,1.08395490
Amiens,SUPERBE STUDIO HYPER CENTRE TOUT ÉQUIPÉ WIFI 2PERS,49.88897700,2.31154480
Amiens,L'ESCAPADE AVEC SALLE DE SPORT,49.88551930,2.29436240
Amiens,Studio Spa Privatif NETFLIX Unique Amiens,49.90016840,2.28609340
Netflix,Charmant T2 Hyper-centre,49.89013675,2.29853201
Rouen,Mercure Rouen Centre Champ de Mars,49.43555756,1.10374242
Amiens,So Amiens,49.89564939,2.30620663
Amiens,Chambres d'hôtes Les Ecuries de La Source,49.91872377,2.27057827
2 pièces,Appartement Carolles,48.75878100,-1.57080350
Amiens,Nid douillet moderne face à la Cathédrale,49.89615560,2.30569460
3 pièces,Maison Jullouville,48.76325500,-1.56986780
Lille,Lille centre - Beautiful bright apartment!,50.63414400,3.06691500
Ver-sur-Mer,Maison de 2 chambres a Ver sur Mer a 100 m de la plage avec jardin clos,49.34443202,-0.51691209
Amiens,LES PERLES AMIÉNOISES ☆ WHITE PEARL ☆ HYPER CENTRE ☆,49.89256250,2.30528440
Bretteville-lʼOrgueilleuse,Zaurak YourHostHelper,49.21324420,-0.51617340
Planquery,Les etangs de planquery,49.16325754,-0.85271600
La Bazoque,AMAZONIA,49.16491460,-0.86672230
Bernesq,Château de Bernesq,49.27241099,-0.94273603
Reviers,Maison élégante à quelques minutes de la mer,49.30396793,-0.46588739
Courseulles-sur-Mer,Appartement avec loggia - Proche centre et plage,49.33451801,-0.45846697
Sainte-Honorine-de-Ducy,Domaine de la Fauvriere,49.13015900,-0.77937500
en centre ville,Studio avec toit terrasse privé,49.44393570,1.08547350
Rouen,Petit studio confortable pour deux personnes,49.45471300,1.09508900
Rouen,Superbe appartement dans le quartier de la gare,49.44850270,1.09623344
rive gauche,Charmant appartement,49.42822201,1.08442686
Rouen,B&B Hôtel Rouen Centre St Sever,49.43032628,1.08483285
Rouen,Appart Atypique Tout Neuf,49.45087860,1.08802190
Amiens,Le Carré D'Or - Appartement Confort - Jardin privé,49.90016840,2.28609340
Amiens,Amiens ROOM,49.89527460,2.30630140
Rouen,Ibis Styles Rouen Centre Rive Gauche,49.42498666,1.06860875
Amiens,Escapade Amiens,49.87921800,2.27778950
Rouen,Appart'HomeCity - Rouen Grand Prieuré,49.42696016,1.08972469
Amiens,Appartement Cosy 2 Amiens,49.88881000,2.28467300
Amiens,DOWNTOWN LOFT - CENTRE VILLE - WiFi - NETFLIX,49.89219043,2.29471652
Amiens,DOWNTOWN COCOON - CENTRE VILLE - WiFi - NETFLIX,49.89225955,2.29466287
Amiens,GRAND T2 GARE AMIENS TOUT CONFORT 2PERS WIFI,49.88897700,2.31154480
Amiens,Sweet Home,49.88363244,2.28531144
Amiens,Appartement Cosy 3 Amiens,49.88423170,2.32702120
Amiens,Casamara 1 T1 avec 2 couchages 10 min CHU,49.89692880,2.27981750
Amiens,Les cottages Saint Honoré,49.88438100,2.28469420
Amiens,Charmant T2 hyper centre. Cathédrale,49.89387632,2.30091080
studio tout confort,Le petit Fiquet,49.89008447,2.30717169
Amiens,Appartement Cosy 5 Amiens,49.88423960,2.32701670
Amiens,15ème droite - Tour Perret - Centre-Ville - 4 étoiles,49.89103600,2.30624400
Amiens,Le petit cocon,49.89064050,2.30338790
Lille,ibis Lille Centre Grand Place,50.63833665,3.06302972
Lille,Les Toquées Maison d'hôtes,50.63822102,3.03484735
an IHG Hotel,Crowne Plaza Euralille,50.63993565,3.07568908
Lille,Aparthotel Adagio Access Lille Vauban,50.63284180,3.04958850
Lille,Appartement grande chaussée Lille,50.63897250,3.06379480
Lille,Hotel Carlton,50.63671804,3.06532234
Lille,Lille Grand Place - Superb design ap,50.63338900,3.06219800
Le Mont Saint Michel,Le Saint Aubert,48.61293783,-1.51010513
Le Mont Saint Michel,Hotel De La Digue,48.61688155,-1.51091784
Beauvoir,Camping aux Pommiers - Tohapi,48.61355500,-1.51010000
Le Mont Saint Michel,Hôtel Vert,48.61470049,-1.50961697
Beauvoir,Apparthôtel Mont Saint Michel - Résidence Fleurdumont,48.59648217,-1.50314692
Lille,Comfortable flat at the heart of Old Lille close to stations - Welkeys,50.64140720,3.06553250
Beauvoir,Gîte de la Grève,48.59731280,-1.51131120
Beauvoir,Ermitage - Mont-Saint-Michel,48.59449000,-1.51142900
Courseulles-sur-Mer,Appartement dos à la marina - Proche de la plage,49.33513280,-0.46521650
Beauvoir,Résidence Beauvoir le Mont-Saint-Michel (9 gîtes de 2 à 5 personnes),48.59787845,-1.50841866
Courseulles-sur-Mer,Appartement près du port centre et plage - Vue mer,49.33316370,-0.46079150
Courseulles-sur-Mer,Appartement moderne avec terrasse à 500m de la mer,49.33308196,-0.45786886
Courseulles-sur-Mer,Gwenhen - Appartement vue mer,49.33475480,-0.46616800
Courseulles-sur-Mer,Le Greement,49.33484500,-0.46411800
Courseulles-sur-Mer,THE BOATSHED House-Premium vue Ville,49.33410000,-0.45972000
Courseulles-sur-Mer,Bleu Salé - F2 Courseulles avec balcon,49.33502702,-0.46466590
Rouen,Studio Le Medicis 5,49.44046203,1.08415972
Courseulles-sur-Mer,Coquelicot,49.32891699,-0.45506460
Amiens,Cinéma T3 Disney+ Balcon Hyper-centre,49.89299890,2.29283980
Amiens,Grand Hotel de L'Univers,49.89125423,2.30433606
Grand Place,NOCNOC - Le Retro,50.63763324,3.06321044
appartement vue sur la cathédrale,Hyper centre,49.89523960,2.29697370
Amiens,Superbe appartement-Sauna-Cinéma-Parking-Gare,49.89420340,2.30683820
Amiens,Grey's amienoise,49.90524950,2.28697940
Amiens,15ème droite - Tour Perret - Centre-Ville - 4 étoiles,49.89103600,2.30624400
Amiens,Appartement d'une chambre avec vue sur la ville et wifi a Amiens,49.89747750,2.26403800
Amiens,escapade in Amiens,49.87924160,2.27783290
Lille,L'appartement d'Alice Lille gare,50.63469450,3.07035810
Lille,Appart'City Confort Lille - Euralille,50.64548750,3.07321072
Amiens,Auberge de Jeunesse HI Amiens,49.89017280,2.28083562
Le Havre,Zenitude Hôtel-Résidences Le Havre,49.50008887,0.14129341
Lille,Old Town - Nice cozy and functional ap for 2pers,50.64016000,3.05571400
Lille,Grand Place - Superb flat 60m2 in the centre of Lille!,50.63837100,3.06345900
Genêts,GITE MONTOISE,48.68415890,-1.47775120
Lille,Le 84 Sainte-Cath',50.64217895,3.05422916
Huisnes-sur-Mer,L'Aurore de la Baie,48.60980731,-1.45251249
Ardevon,Au p'tit Mont,48.59109880,-1.46617603
Genêts,Les Guédrils,48.68891936,-1.46124601
The Originals Relais (Relais du Silence),Manoir de la Roche Torin,48.63727298,-1.42506182
Courtils,La Parenthèse de la Baie,48.62940316,-1.42864372
Roz-sur-Couesnon,Gite Le Mascaret,48.60646125,-1.58795357
Genêts,Gîte Baie Bonheur,48.68464037,-1.47356448
Lille,Old Town - Superb apartment in rue Esquermoise !,50.63805400,3.06162600
Livry,Au Bonheur Nomade,49.11166401,-0.74667871
Courseulles-sur-Mer,Les Sardines,49.33496700,-0.46429000
Courseulles-sur-Mer,La Pêcherie,49.33497720,-0.45743197
Lille,The People - Lille,50.64574603,3.05592656
Courseulles-sur-Mer,Les 5 rûches,49.33482400,-0.45685800
Courseulles-sur-Mer,Le Manoir d'à Côté,49.33440391,-0.45762777
Courseulles-sur-Mer,Le Petit Large,49.33479020,-0.46282000
Courseulles-sur-Mer,Le Goeland,49.33185447,-0.46669220
Courseulles-sur-Mer,Studio avec loggia - à 200m de la plage - Parking,49.33490100,-0.44759720
Le Havre,Le sacré cœur bis -duplex 5pl,49.51538257,0.12214579
Le Havre,Romance spa tropical Le Havre,49.49763920,0.10944970
Le Havre,Vivez La vue mer - Port de plaisance - Plage,49.48794455,0.09892914
Le Havre,Boutique Hotel d'Angleterre Le Havre,49.49404915,0.09936646
Le Havre,LH LOFT spa,49.50056580,0.13826930
Paris,Hotel Cluny Square,48.85148396,2.34343462
Lille,Lille Centre - Nice cozy and functional Parking,50.63217200,3.06524300
Le Havre,Hôtel Les Gens De Mer Le Havre by Popinns,49.48991830,0.10338306
Lille,Old Town - Lovely typical house,50.64160900,3.05471300
Lille,CHARME VIEUX LILLE Apartment 1 chambre 24H24H Access,50.64333085,3.05954592
Lille,Zen Appart Vieux Lille 2,50.64326092,3.05951880
Lille,Old Town - Nice and functional apt,50.64649600,3.05409700
Lille,Appart Lille Centre,50.63289037,3.08828080
Lille,Appartement exceptionnel au coeur de Lille,50.63004925,3.05652280
Paris,Hôtel Cabane,48.83375476,2.31769994
Paris,Le 123 Sébastopol - Astotel,48.86761722,2.35307649
Paris,Hotel Terminus Montparnasse,48.84433000,2.32331300
Paris,Hotel Mirabeau Eiffel,48.84405703,2.27965744
Paris,Hotel de L'Empereur,48.85631433,2.30952613
Paris,Best Western Premier Opéra Faubourg,48.87532070,2.34141827
Le Havre,LeThamyris - HYPER CENTRE avec Parking privé,49.49324760,0.11828640
Lille,Lille Centre - Nice cozy and functional studio,50.63279300,3.05543400
Lille,Studio Lille Gambetta,50.62778620,3.05398960
Lille,L'Esplanade Lille,50.64224688,3.05362254
Lille,Charming architect studio at the heart of Lille nearby Solférino - Welkeys,50.62431420,3.05939210
Lille,Lille Centre - Nice cozy and functional ap 2bdrm,50.63490300,3.06720100
Genêts,La Boulangerie,48.68958402,-1.46075382
Lille,M'amour,50.61535268,3.02906156
Lille,La Valiz,50.63695662,3.06955688
Tanis,Hébergements situés à 6 kms du Mont Saint Michel,48.57745888,-1.44966947
Roz-sur-Couesnon,Vacancéole - Les Chambres de la Baie,48.59357500,-1.59629100
Roz-sur-Couesnon,Vacancéole - Le Domaine du Mont - Mont St Michel,48.59352509,-1.59637034
Saint-Georges-de-Gréhaigne,Chambres de Villée,48.56508150,-1.55107080
Hôtel Les Quatre Salines,The Originals Boutique,48.59640422,-1.58920348
Saint-Georges-de-Gréhaigne,ibis Pontorson Baie Du Mont Saint Michel,48.57154900,-1.54312700
Roz-sur-Couesnon,Chambres d'Hôtes Ferme de la Baie,48.58118645,-1.57187775
Paris,1er Etage SoPi-Montmartre,48.87979654,2.33431211
Lille,Hotel Du Moulin d'Or,50.63555103,3.07001285
Le Havre,L'Echo des Vagues,49.49816700,0.09403450
ds maison de maître,appartement individuelle refais a neuf,49.50051870,0.12149180
Le Havre,Vue mer plage 60m2 - 4pers - Garage privatif,49.49596950,0.09504450
Le Havre,Vivez les flots bleus,49.48792053,0.09975522
Le Havre,NOUVEAU - Vivez La forêt à la Marina - Résidence de France,49.48801811,0.09973376
Le Havre,Maison de ville avec Jardin au HAVRE (Normandie),49.50109997,0.14476090
Lille,Lille Centre - Nice cozy and functional ap,50.63828300,3.07365400
Lille,Le Chat Qui Dort - Vieux Lille III,50.64356400,3.05995500
Lille,Appartement T2 sur la place du marché de Wazemmes,50.62599200,3.04899200
Paris,Hôtel Montparnasse Saint Germain,48.84248541,2.32361737
Lille,Lille Centre - Nice cozy and functional ap 4pers,50.63490300,3.06720100
Lille,Superb apartment near the Grand Place!,50.63490300,3.06720100
Lille,The Appart,50.63857991,3.06551814
Lille,Nestyou Vieux Lille Centre Ville,50.63932598,3.05970190
Rouen,Kindarena Rouen Living Spot,49.45107620,1.05931080
Paris,citizenM Paris Champs-Élysées,48.87104800,2.30576700
Courseulles-sur-Mer,Appt lumineux - Avec balcon à 400m de la plage,49.33146930,-0.44678740
Paris,ibis Paris Gare De L'Est TGV,48.87550770,2.35847881
Paris,Mercure Paris Bastille Marais,48.85710229,2.38074750
Paris,Le Regent Montmartre by Hiphophostels,48.88287440,2.34509356
Paris,Jardin de Villiers,48.88402748,2.31497437
Paris,Le 123 Elysees - Astotel,48.87312348,2.30974138
Le Havre,Modern studio with jacuzzi near Le Havre station and center Welkeys,49.49253190,0.12139650
Lille,Old Town - Nice cozy and functional studio,50.63834800,3.05461800
Lille,Sohosuite,50.62282002,3.05064626
Lille,La Bourgogne en Ville,50.63509100,3.05184300
Paris,Hotel 34B - Astotel,48.87262971,2.34366865
Paris,Austin's Arts Et Metiers Hotel,48.86601094,2.35709757
Paris,Louisa Hôtel,48.86916013,2.28906624
Paris,Hôtel A La Villa des Artistes,48.84228828,2.33078197
Paris,Hotel George - Astotel,48.87948642,2.33634353
Paris,Mercure Paris Gare De Lyon TGV,48.84440560,2.37272322
Avranches,Hôtel de La Croix d'Or,48.68265214,-1.35684639
Aucey-la-Plaine,La Jouvenelle,48.52675364,-1.48082346
Beauvoir,Camping aux Pommiers - Tohapi,48.61355500,-1.51010000
Pontorson,Gite Notre Dame,48.55317280,-1.51105875
Avranches,Hôtel Patton,48.68230328,-1.35637432
Le Val-Saint-Père,B&B Hôtel AVRANCHES Baie du Mont St-Michel,48.65501346,-1.35374832
Beauvoir,Résidence Beauvoir le Mont-Saint-Michel (9 gîtes de 2 à 5 personnes),48.59787845,-1.50841866
Le Havre,Villa Raphaëlle #5,49.49727710,0.12303550
Paris,Avalon Cosy Paris Gare du Nord,48.88085400,2.35149200
Le Havre,Villa Raphaëlle #2,49.49727710,0.12303550
Beauvoir,Ermitage - Mont-Saint-Michel,48.59449000,-1.51142900
Le Havre,Game Time - Appartement lumineux et tout confort,49.49691020,0.12225350
Le Havre,Dormir au Havre Flaubert hyper centre,49.49821950,0.11360550
Le Havre,Appartement plein centre-ville du Havre,49.49161515,0.10445874
Paris,Art Hotel Eiffel,48.84872937,2.29834892
Lille,Hotel De Londres,50.63632592,3.06916058
Lille,Cosy Appartement proche Gares #1,50.64532790,3.07673500
Lille,Treilles'Appart,50.63305787,3.08809966
Lille,Les Toquées Maison d'hôtes,50.63822102,3.03484735
proche facultés médecine et hopitaux,Jolis Appartements,50.61626986,3.03245547
Lille,NOCNOC - Le Petit National,50.63134300,3.04886500
Lille,Atypical and cozy studio in Old Lille close to the station - Welkeys,50.63869970,3.05989780
Rouen,CosyRouen Gare,49.45286500,1.09568700
en centre ville,Studio avec toit terrasse privé,49.44393570,1.08547350
Rouen,3DALIPHARD,49.44489780,1.10744990
Maison avec Terrasse et parking Gare de ROUEN,Le 102,49.45594900,1.09517668
Rouen,Appart'HomeCity - Rouen Grand Voile,49.42540118,1.06979833
Rouen,LES OISEAUX (L'HIRONDELLE),49.45195159,1.09574068
Rouen,Appart'HomeCity - Rouen Ile Lacroix Seine,49.43323031,1.09939416
Courseulles-sur-Mer,Charming Apartment in Courseulles sur Mer near Seabeach,49.33531500,-0.44668400
Courseulles-sur-Mer,Pegase,49.33259720,-0.44713480
Courseulles-sur-Mer,Appartement neuf - à 500m de la mer avec balcon,49.33344965,-0.44929287
Courseulles-sur-Mer,Galene,49.33146930,-0.44678740
Courseulles-sur-Mer,Tribord,49.33462360,-0.45094910
Litteau,Le Manoir de Herouville,49.15690610,-0.89656591
Courseulles-sur-Mer,JUNO,49.33341840,-0.45080032
parking,F2 avec terrasse sud,49.33329170,-0.44940760
Paris,Hôtel Céleste Batignolles Montmartre,48.88359390,2.32546940
Paris,Hotel Beaugrenelle Tour Eiffel,48.85029968,2.29046166
Paris,Mercure Paris Bastille Saint Antoine,48.84957780,2.37965181
Paris,Kyriad Hotel XIII Italie Gobelins,48.83379537,2.35496745
Le Havre,Vivez l'Echappée mer - 4 chemins - St Vincent - Plage,49.49929770,0.09494393
Paris,Best Western Hôtel Littéraire Arthur Rimbaud,48.87087554,2.35571600
Paris,Passy Eiffel,48.85839979,2.28346579
Paris,Best Western Premier Hotel Littéraire Le Swann,48.87983304,2.32074648
Le Havre,Aux chants d'oiseaux,49.49792380,0.12236480
Paris,Elysees Niel Hotel,48.87962842,2.29613051
Paris,Aparthotel Adagio Paris Nation,48.84070000,2.39787900
Beauvoir,Gîte de la Grève,48.59731280,-1.51131120
Paris,Best Western Hôtel Littéraire Arthur Rimbaud,48.87087554,2.35571600
Paris,Hotel Duquesne Eiffel,48.85262399,2.30901897
Genêts,GITE MONTOISE,48.68415890,-1.47775120
Paris,Hotel Eugène en Ville,48.87502516,2.34160200
Courtils,La Parenthèse de la Baie,48.62940316,-1.42864372
Huisnes-sur-Mer,L'Aurore de la Baie,48.60980731,-1.45251249
Genêts,Gîte Baie Bonheur,48.68464037,-1.47356448
Roz-sur-Couesnon,Gite Le Mascaret,48.60646125,-1.58795357
Genêts,La Boulangerie,48.68958402,-1.46075382
Genêts,Les Guédrils,48.68891936,-1.46124601
Paris,Residhome Paris Opéra,48.87475354,2.32910961
an IHG Hotel,InterContinental Paris Le Grand,48.87062271,2.32988074
Le Havre,Les délices du Havre,49.50565542,0.10181562
Le Havre,Le Coin Tranquille - City Center,49.50000440,0.12450450
Roz-sur-Couesnon,le gite du baron,48.59562119,-1.61509583
Lille,Lille Centre - Nice cozy and functional ap,50.63936600,3.07031700
Paris,Hotel Saint Honore,48.86122012,2.34364249
Le Havre,Appartement Cosy Feng Shui 4 personnes Le Havre Centre-ville,49.49888105,0.11648710
Lille,Lille Beau Hôte,50.62526299,3.11195641
Lille,Old Town - Nice cozy and functional studio,50.63924400,3.05864100
Lille,Sohosuite,50.62282002,3.05064626
Bayeux,Au Loup Historic Apartments,49.27279800,-0.70755600
Rouen,Appart Coeur de Rouen - Les Beaux Arts,49.44372600,1.09466460
Lille,A & V Appart'hôtel,50.62990912,3.04850888
Rouen,Le Cottage Flaubert,49.43581548,1.07821584
Rouen,Charmant appartement centre historique de Rouen proche de tout pour un week-end en amoureux ou le travail,49.43890300,1.09911850
Rouen,Résidence services seniors les boréales,49.42547010,1.08388550
Rouen,ROUEN F3 ORBE Sweet Home,49.44338770,1.10439220
Rouen,Rouen ECO Lodges,49.45751538,1.09975319
Rouen,Golden Junior,49.43867360,1.09251560
Courseulles-sur-Mer,Jardin - à 50m de la plage - Wifi - Parking,49.33434250,-0.44823170
Rouen,DUPLEX F3 - CENTRE ROUEN - 4 COUCHAGES,49.44657580,1.08572570
Courseulles-sur-Mer,La Mouette Rieuse,49.33490100,-0.44759720
Courseulles-sur-Mer,Taphao YourHostHelper,49.33246730,-0.44741230
Courseulles-sur-Mer,Le Petit Normand,49.33344000,-0.45097700
Courseulles-sur-Mer,Le Juno,49.33217643,-0.44709007
Courseulles-sur-Mer,Le Pavillon - Appartement à 30 m de la plage,49.33528500,-0.44704800
Courseulles-sur-Mer,La Rhétaise,49.32571999,-0.44762717
Courseulles-sur-Mer,Trimaran,49.33530580,-0.44653900
Bayeux,Château Saint Gilles,49.24936600,-0.71246900
Bayeux,Domitys Les Falaises Blanches,49.27913671,-0.72042494
Bayeux,La maison des marronniers,49.27686500,-0.72618160
Bayeux,VICTOIRE APPART - CENTRE HISTORIQUE - LUMINEUX - Bayeux,49.27815486,-0.70626262
Bayeux,Château de Monceaux 5mn de Bayeux proche Mer,49.25214479,-0.69390664
Bayeux,LES URSULINES Centre Historique de BAYEUX,49.27767800,-0.70593700
Bayeux,Liberty Confort - Old town & Cathedral view,49.27608800,-0.70410317
Le Havre,Hôtel Le Green,49.49230280,0.12293280
32m2,Villa des Roses Appart T2,49.49271861,0.15357732
Paris,Hotel Splendid,48.84677780,2.29620060
Paris,ibis Styles Paris Nation Cours de Vincennes,48.84695053,2.40798265
